sku,product_name,category,current_stock,reorder_point,supplier_lead_time,shipping_time,receiving_buffer,base_velocity,avg_daily_velocity,last_restock_date,unit_cost,unit_price,supplier
SCH-10001,Contour Collar Classic Surcingle Turnout Blanket,Blankets & Sheets,0,51,55,10,5,8.75,3.5,2026-01-24,70.58,142.59,Weatherbeeta Direct
SCH-10002,Warrior II V-Free Wither Relief Turnout,Blankets & Sheets,29,24,75,16,5,0.61,0.24,2026-03-29,59.22,130.59,Pacific Rim Imports
SCH-10003,Challenger Cutback Adjusta-Fit Surcingle Turnout,Blankets & Sheets,7,28,75,16,5,0.73,0.29,2026-03-17,82.38,165.19,Pacific Rim Imports
SCH-10004,Dura-Nylon Original Cutback Stable Sheet,Blankets & Sheets,8,8,18,5,5,10.5,4.2,2026-03-27,23.67,49.25,Dover Wholesale
SCH-10005,Tekno-Fleece V-Free Leg Strap Stable Blanket,Blankets & Sheets,30,11,18,5,5,0.9,0.36,2026-03-30,29.73,67.36,Dover Wholesale
SCH-10006,SuperQuilt Cutback Bellyband Heavy Stable Blanket,Blankets & Sheets,40,35,75,16,5,0.88,0.35,2026-03-28,58.19,192.07,Pacific Rim Imports
SCH-10007,Memphis Medium Weight Leg Strap Stable Blanket,Blankets & Sheets,30,12,18,5,5,0.72,0.29,2026-03-26,32.11,87.74,Dover Wholesale
SCH-10008,Blizzard II Attached Neck Euro Turnout,Blankets & Sheets,9,17,55,10,5,0.6,0.24,2026-03-16,78.97,261.41,Weatherbeeta Direct
SCH-10009,Viking Classic Euro Surcingle Pony Turnout,Blankets & Sheets,28,19,60,12,5,0.61,0.24,2026-03-19,40.03,82.24,Mountain Horse EU
SCH-10010,Hunt Club Plaid Medium Weight Stable Blanket,Blankets & Sheets,469,118,18,5,5,8.47,3.39,2026-03-28,34.86,73.95,Dover Wholesale
SCH-10011,Expandable Lightweight Foal Stable Blanket,Blankets & Sheets,1,0,18,5,5,0.18,0.07,2026-02-13,20.29,67.52,Dover Wholesale
SCH-10012,Insulated Waterproof Reflective Dog Coat,Blankets & Sheets,186,113,75,16,5,2.79,1.12,2026-04-02,20.85,54.76,Pacific Rim Imports
SCH-10013,Euro Bellyband Medium Weight Foal Turnout,Blankets & Sheets,1,23,55,10,5,0.78,0.31,2026-02-24,55.41,116.14,Weatherbeeta Direct
SCH-10014,Challenger II Senior VTEK Turnout 220g,Blankets & Sheets,65,40,75,16,5,0.97,0.39,2026-03-29,60.15,169.16,Pacific Rim Imports
SCH-10015,RipGuard Bellyband Pony Turnout Sheet,Blankets & Sheets,322,200,55,10,5,6.24,2.5,2026-04-01,41.83,104.98,Weatherbeeta Direct
SCH-10016,Adjusta-Fit Draft Surcingle Turnout,Blankets & Sheets,0,16,75,16,5,0.38,0.15,2026-02-04,116.1,358.05,Pacific Rim Imports
SCH-10017,Mosquito Mesh Cutback Adjusta-Fit Fly Sheet,Blankets & Sheets,265,101,18,5,5,7.96,3.18,2026-03-13,36.63,93.1,Dover Wholesale
SCH-10018,Full Zip Slicker Hood,Blankets & Sheets,42,9,18,5,5,0.72,0.29,2026-03-26,19.64,62.5,Dover Wholesale
SCH-10019,Contour Collar Diamond Surcingle Turnout LE,Blankets & Sheets,66,0,75,16,5,1.19,0.48,2026-04-02,90.48,220.84,Pacific Rim Imports
SCH-10020,Cooler Show Cover Anti-Static Dress Sheet,Blankets & Sheets,160,46,18,5,5,3.72,1.49,2026-03-26,18.28,48.91,Dover Wholesale
SCH-10021,Dura-Nylon VTEK Senior Medium Weight Stable Blanket,Blankets & Sheets,23,8,18,5,5,0.61,0.24,2026-04-01,35.36,74.67,Dover Wholesale
SCH-10022,Ripstop Nylon Mesh Euro Surcingle Fly Sheet,Blankets & Sheets,0,59,18,5,5,3.59,1.44,2026-02-23,35.18,81.98,Dover Wholesale
SCH-10023,Warrior II VTEK Bellyband Turnout Heavy,Blankets & Sheets,448,270,75,16,5,6.69,2.68,2026-04-01,108.08,240.03,Pacific Rim Imports
SCH-10024,Challenger II V-Free Adjusta-Fit Draft Turnout,Blankets & Sheets,10,5,75,16,5,0.15,0.06,2026-03-20,94.37,287.95,Pacific Rim Imports
SCH-10025,Tekno-Fleece Cutback Bellyband Stable Blanket LW,Blankets & Sheets,128,46,18,5,5,3.59,1.44,2026-03-18,30.2,72.13,Dover Wholesale
SCH-10026,Mosquito Mesh Adjusta-Fit Fly Sheet,Fly & Insect Control,397,108,18,5,5,3.09,3.09,2026-03-30,38.53,112.34,Dover Wholesale
SCH-10027,Premium Fly Mask with Ears,Fly & Insect Control,0,18,20,4,5,0.59,0.59,2025-12-12,7.78,25.4,Blue Ridge Equine Supply
SCH-10028,Endure Sweat-Resistant Fly Spray 32oz,Fly & Insect Control,17,6,16,5,5,0.17,0.17,2026-04-01,7.41,15.82,Farnam Direct
SCH-10029,Ultra Shield EX Fly Spray Gallon,Fly & Insect Control,45,6,16,5,5,6.5,6.5,2026-03-22,26.3,68.12,Farnam Direct
SCH-10030,Fly Predators Monthly Supply 5-Pack,Fly & Insect Control,0,267,21,5,5,7.87,7.87,2026-03-02,13.14,29.4,Horsemens Pride
SCH-10031,Mesh Fly Boots Set of 4,Fly & Insect Control,210,57,20,4,5,1.8,1.8,2026-03-31,16.96,34.94,Blue Ridge Equine Supply
SCH-10032,Pyranha Wipe N Spray Quart,Fly & Insect Control,0,130,16,5,5,3.95,3.95,2026-03-11,6.75,17.25,Farnam Direct
SCH-10033,Fly Mask with Nose Guard UV Protection,Fly & Insect Control,5,12,20,4,5,0.34,0.34,2026-03-14,14.45,30.15,Blue Ridge Equine Supply
SCH-10034,Automatic Fly Spray System Refill,Fly & Insect Control,0,9,16,5,5,0.34,0.34,2026-01-22,18.89,41.13,Farnam Direct
SCH-10035,Mesh Belly Guard Fly Sheet,Fly & Insect Control,1212,513,18,5,5,9.88,9.88,2026-04-02,22.88,52.81,Dover Wholesale
SCH-10036,Natural Botanical Fly Repellent 32oz,Fly & Insect Control,15,0,20,4,5,0.23,0.23,2026-03-13,6.56,21.09,Blue Ridge Equine Supply
SCH-10037,Fly Trap Disposable Ranch Pack 4ct,Fly & Insect Control,12,25,16,5,5,0.82,0.82,2026-03-17,4.51,10.29,Farnam Direct
SCH-10038,Mosquito Mesh II Attached Neck V-Free Fly Sheet,Fly & Insect Control,174,31,18,5,5,0.98,0.98,2026-03-21,35.13,90.54,Dover Wholesale
SCH-10039,Fly Leg Wraps Protective Mesh Set of 4,Fly & Insect Control,1589,334,20,4,5,9.55,9.55,2026-03-21,11.77,28.19,Blue Ridge Equine Supply
SCH-10040,Spot On Fly Control Applicator 3-Pack,Fly & Insect Control,43,0,16,5,5,0.44,0.44,2026-03-19,8.99,19.2,Farnam Direct
SCH-10041,All-Purpose English Saddle Package,Tack & Saddles,4,0,75,16,5,0.3,0.27,2026-02-21,182.54,415.84,Pacific Rim Imports
SCH-10042,Western Trail Saddle Flex Tree,Tack & Saddles,0,234,75,16,5,2.0,1.8,2026-01-09,187.15,541.94,Pacific Rim Imports
SCH-10043,Leather Raised Snaffle Bridle,Tack & Saddles,214,98,60,12,5,1.33,1.2,2026-04-01,20.21,65.73,Mountain Horse EU
SCH-10044,Nylon Web Halter with Brass Hardware,Tack & Saddles,377,0,18,5,5,3.13,2.82,2026-03-22,5.93,15.42,Dover Wholesale
SCH-10045,Fleece Lined Dressage Girth,Tack & Saddles,867,486,60,12,5,6.59,5.93,2026-04-01,29.1,82.53,Mountain Horse EU
SCH-10046,Contoured Wool Saddle Pad,Tack & Saddles,199,54,14,3,5,2.23,2.01,2026-03-23,34.4,78.19,Local Craftworks
SCH-10047,Stainless Steel D-Ring Snaffle Bit,Tack & Saddles,65,20,18,5,5,0.65,0.59,2026-03-30,14.52,39.83,Dover Wholesale
SCH-10048,Leather Breastcollar with Running Attachment,Tack & Saddles,74,38,60,12,5,0.52,0.47,2026-03-21,31.89,83.05,Mountain Horse EU
SCH-10049,Neoprene Western Cinch,Tack & Saddles,417,266,75,16,5,2.99,2.69,2026-03-23,21.57,58.58,Pacific Rim Imports
SCH-10050,Cotton Lead Rope with Brass Snap 10ft,Tack & Saddles,336,138,20,4,5,4.28,3.85,2026-03-27,4.24,12.52,Blue Ridge Equine Supply
SCH-10051,Dressage Bridle with Flash Noseband,Tack & Saddles,33,33,60,12,5,0.45,0.41,2026-03-21,47.15,122.51,Mountain Horse EU
SCH-10052,Breakaway Halter Safety Release,Tack & Saddles,36,9,18,5,5,0.3,0.27,2026-03-19,11.16,34.56,Dover Wholesale
SCH-10053,Synthetic Western Trail Saddle,Tack & Saddles,48,64,75,16,5,0.7,0.63,2026-03-12,184.83,452.23,Pacific Rim Imports
SCH-10054,Shaped Fleece Saddle Pad All-Purpose,Tack & Saddles,98,20,14,3,5,0.85,0.77,2026-03-29,19.96,56.04,Local Craftworks
SCH-10055,Bit Guard Rubber Pair,Tack & Saddles,131,99,20,4,5,3.33,3.0,2026-03-17,3.5,10.54,Blue Ridge Equine Supply
SCH-10056,HDR Advantage All Purpose Saddle,Tack & Saddles,22,17,75,16,5,0.17,0.15,2026-04-01,179.31,414.27,Pacific Rim Imports
SCH-10057,Billy Royal Western Show Saddle,Tack & Saddles,0,109,75,16,5,0.89,0.8,2026-01-04,332.97,767.52,Pacific Rim Imports
SCH-10058,Wintec Synthetic Dressage Saddle,Tack & Saddles,79,39,60,12,5,0.53,0.48,2026-03-20,177.93,549.39,Mountain Horse EU
SCH-10059,Leather Reins Laced with Stops 54in,Tack & Saddles,37,46,60,12,5,0.64,0.58,2026-03-14,14.19,40.49,Mountain Horse EU
SCH-10060,Pinnacle Fancy Stitched Padded Bridle,Tack & Saddles,180,109,60,12,5,1.5,1.35,2026-03-19,26.72,73.37,Mountain Horse EU
SCH-10061,Ladies Breech Knee Patch Full Seat,Riding Apparel,224,1493,60,12,5,16.43,14.79,2026-03-10,34.85,90.02,Mountain Horse EU
SCH-10062,Tall Field Boot Premium Leather,Riding Apparel,17,33,60,12,5,0.44,0.4,2026-03-26,90.87,209.07,Mountain Horse EU
SCH-10063,Velvet Riding Helmet ASTM Certified,Riding Apparel,47,28,75,16,5,0.3,0.27,2026-03-30,34.98,71.45,Pacific Rim Imports
SCH-10064,Waterproof Riding Jacket Breathable,Riding Apparel,230,202,60,12,5,2.42,2.18,2026-03-28,55.18,146.86,Mountain Horse EU
SCH-10065,Winter Riding Gloves Thinsulate,Riding Apparel,1,5,18,5,5,0.2,0.18,2026-03-01,8.34,22.03,Dover Wholesale
SCH-10066,Show Shirt White Competition Ratcatcher,Riding Apparel,27,388,75,16,5,3.82,3.44,2026-02-11,23.64,74.25,Pacific Rim Imports
